,0
0,10.006151541371228
1,9.369961377579697
2,8.931745901106847
3,8.885588983813022
4,8.12316988698578
5,8.28067420980589
6,8.252918823888018
7,8.220060237201348
8,7.88003264755745
9,7.5015656993925335
10,7.395625722688221
11,7.319141721909723
12,7.291155882331753
13,7.308729210718483
14,7.412401675409551
15,7.366127506019345
16,7.215363274608561
17,7.073113193827234
18,6.995629344381957
19,6.773324111895932
20,6.59202351925698
21,6.401073375719045
22,6.342053023673036
23,6.411938946237614
24,6.46082442911374
25,6.375847517632194
26,6.3810260266438465
27,6.441752662001575
28,6.483820848368903
29,6.433243346783839
30,6.382654848885299
31,6.3545353806663165
32,6.372645705686236
33,6.4085978496596
34,6.463941097804297
35,6.46366467162621
36,6.493831023794777
37,6.458280204198718
38,6.432561435975939
39,6.315377581556841
40,6.246500543855794
41,6.21796702672333
42,6.193748003601711
43,6.159214268852388
44,6.130699388585025
45,6.134596340237377
46,6.084156269308476
47,6.031670322526669
48,6.04492805141231
49,6.056472607762788
50,6.095266993706761
51,6.07986815386842
52,6.0210651553709615
53,5.966663498702263
54,5.950829826773477
55,5.929000365457007
56,5.883237913103639
57,5.845013295532854
58,5.865459265798424
59,5.83920441055197
60,5.8867377942585355
61,5.825854766593039
62,5.790691300721826
63,5.82854748032522
64,5.828016203644614
65,5.831636877292414
66,5.814465825147804
67,5.847753842149412
68,5.902784710162372
69,5.891395224964165
70,5.859814415613411
71,5.837535872063131
72,5.824858532472408
73,5.839420819962496
74,5.82363183507542
75,5.7532529605808636
76,5.79780237190578
77,5.797537775489169
78,5.758141996426203
79,5.737610325455197
80,5.7419565501301255
81,5.729602920607984
82,5.733711584736686
83,5.721566674563401
84,5.730826787543967
85,5.725113032585815
86,5.760536311732992
87,5.744344985082085
88,5.731161980196689
89,5.710193952335499
90,5.718228956814146
91,5.707495918973373
92,5.688201835617597
93,5.665317825063966
94,5.619467616398987
95,5.61208111916909
96,5.613560210686435
97,5.636659180650618
98,5.695099637326149
99,5.694071816112545
100,5.703535394991076
101,5.7064130089453045
102,5.703859056173846
103,5.690595382694733
104,5.687830812714612
105,5.714257975229791
106,5.72865674736317
107,5.749643317919189
108,5.728434155665668
109,5.741225307738997
110,5.7448847389701845
111,5.702780930896295
112,5.695162558630545
113,5.6876200277412785
114,5.68635772923763
115,5.673735230360369
116,5.694711063748472
117,5.725761912490263
118,5.736169439774107
119,5.737736834707971
120,5.689597960313341
121,5.672547652850674
122,5.690175380051347
123,5.751293681719631
124,5.776425323983551
125,5.785715974831834
126,5.765344625378653
127,5.774376346442353
